Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta
2015,1.0,Ciutat Vella,1.0,el Raval,1.0,28573.0
2015,1.0,Ciutat Vella,1.0,el Raval,2.0,23673.0
2015,1.0,Ciutat Vella,1.0,el Raval,3.0,24997.0
2015,1.0,Ciutat Vella,1.0,el Raval,4.0,29768.0
2015,1.0,Ciutat Vella,1.0,el Raval,5.0,23645.0
2015,1.0,Ciutat Vella,1.0,el Raval,6.0,27650.0
2015,1.0,Ciutat Vella,1.0,el Raval,7.0,27800.0
2015,1.0,Ciutat Vella,1.0,el Raval,8.0,23022.0
2015,1.0,Ciutat Vella,1.0,el Raval,9.0,26655.0
2015,1.0,Ciutat Vella,1.0,el Raval,10.0,24703.0
2015,1.0,Ciutat Vella,1.0,el Raval,11.0,23241.0
2015,1.0,Ciutat Vella,1.0,el Raval,12.0,26842.0
2015,1.0,Ciutat Vella,1.0,el Raval,13.0,30066.0
2015,1.0,Ciutat Vella,1.0,el Raval,14.0,27941.0
2015,1.0,Ciutat Vella,1.0,el Raval,15.0,28107.0
2015,1.0,Ciutat Vella,1.0,el Raval,16.0,29069.0
2015,1.0,Ciutat Vella,1.0,el Raval,17.0,26658.0
2015,1.0,Ciutat Vella,1.0,el Raval,18.0,26309.0
2015,1.0,Ciutat Vella,1.0,el Raval,19.0,24469.0
2015,1.0,Ciutat Vella,1.0,el Raval,20.0,37601.0
2015,1.0,Ciutat Vella,1.0,el Raval,21.0,31900.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,22.0,41498.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,23.0,36895.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,25.0,30631.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,26.0,36865.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,27.0,31603.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,28.0,32089.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,29.0,28007.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,30.0,29580.0
2015,1.0,Ciutat Vella,2.0,el Gòtic,31.0,31299.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,32.0,30743.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,33.0,25786.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,34.0,23908.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,35.0,25404.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,36.0,30603.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,37.0,29889.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,38.0,25501.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,39.0,29793.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,40.0,30698.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,41.0,23570.0
2015,1.0,Ciutat Vella,3.0,la Barceloneta,42.0,31956.0
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",43,40240.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",44,39372.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",45,29864.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",46,30148.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",47,26394.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",48,24167.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",49,35164.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",50,31159.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",51,26621.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",52,47394.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",53,25718.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",54,27627.0,",,,,,,
"2015,1,Ciutat Vella,4,""Sant Pere, Santa Caterina i la Ribera"",55,41163.0,",,,,,,
2015,2.0,Eixample,5.0,el Fort Pienc,1.0,45435.0
2015,2.0,Eixample,5.0,el Fort Pienc,2.0,43232.0
2015,2.0,Eixample,5.0,el Fort Pienc,3.0,51823.0
2015,2.0,Eixample,5.0,el Fort Pienc,4.0,39508.0
2015,2.0,Eixample,5.0,el Fort Pienc,5.0,51940.0
2015,2.0,Eixample,5.0,el Fort Pienc,6.0,52950.0
2015,2.0,Eixample,5.0,el Fort Pienc,7.0,52804.0
2015,2.0,Eixample,5.0,el Fort Pienc,8.0,52183.0
2015,2.0,Eixample,5.0,el Fort Pienc,9.0,50321.0
2015,2.0,Eixample,5.0,el Fort Pienc,10.0,46898.0
2015,2.0,Eixample,5.0,el Fort Pienc,11.0,49444.0
2015,2.0,Eixample,5.0,el Fort Pienc,12.0,41059.0
2015,2.0,Eixample,5.0,el Fort Pienc,13.0,36608.0
2015,2.0,Eixample,5.0,el Fort Pienc,14.0,35085.0
2015,2.0,Eixample,5.0,el Fort Pienc,15.0,38657.0
2015,2.0,Eixample,5.0,el Fort Pienc,16.0,49540.0
2015,2.0,Eixample,5.0,el Fort Pienc,17.0,52673.0
2015,2.0,Eixample,5.0,el Fort Pienc,18.0,53690.0
2015,2.0,Eixample,5.0,el Fort Pienc,19.0,45016.0
2015,2.0,Eixample,5.0,el Fort Pienc,20.0,38979.0
2015,2.0,Eixample,6.0,la Sagrada Família,21.0,39429.0
2015,2.0,Eixample,6.0,la Sagrada Família,22.0,47856.0
2015,2.0,Eixample,6.0,la Sagrada Família,23.0,43308.0
2015,2.0,Eixample,6.0,la Sagrada Família,24.0,40382.0
2015,2.0,Eixample,6.0,la Sagrada Família,25.0,41075.0
2015,2.0,Eixample,6.0,la Sagrada Família,26.0,47135.0
2015,2.0,Eixample,6.0,la Sagrada Família,27.0,47236.0
2015,2.0,Eixample,6.0,la Sagrada Família,28.0,46494.0
2015,2.0,Eixample,6.0,la Sagrada Família,29.0,42743.0
2015,2.0,Eixample,6.0,la Sagrada Família,30.0,36891.0
2015,2.0,Eixample,6.0,la Sagrada Família,31.0,54739.0
2015,2.0,Eixample,6.0,la Sagrada Família,32.0,45260.0
2015,2.0,Eixample,6.0,la Sagrada Família,33.0,42742.0
2015,2.0,Eixample,6.0,la Sagrada Família,34.0,36193.0
2015,2.0,Eixample,6.0,la Sagrada Família,35.0,44295.0
2015,2.0,Eixample,6.0,la Sagrada Família,36.0,52391.0
2015,2.0,Eixample,6.0,la Sagrada Família,37.0,52646.0
2015,2.0,Eixample,6.0,la Sagrada Família,38.0,52934.0
2015,2.0,Eixample,6.0,la Sagrada Família,39.0,40821.0
2015,2.0,Eixample,6.0,la Sagrada Família,40.0,38234.0
2015,2.0,Eixample,6.0,la Sagrada Família,41.0,43211.0
2015,2.0,Eixample,6.0,la Sagrada Família,42.0,52644.0
2015,2.0,Eixample,6.0,la Sagrada Família,43.0,51429.0
2015,2.0,Eixample,6.0,la Sagrada Família,44.0,40587.0
2015,2.0,Eixample,6.0,la Sagrada Família,45.0,49473.0
2015,2.0,Eixample,6.0,la Sagrada Família,46.0,39428.0
2015,2.0,Eixample,6.0,la Sagrada Família,47.0,44561.0
2015,2.0,Eixample,6.0,la Sagrada Família,48.0,44620.0
2015,2.0,Eixample,6.0,la Sagrada Família,49.0,39578.0
2015,2.0,Eixample,6.0,la Sagrada Família,50.0,42328.0
2015,2.0,Eixample,6.0,la Sagrada Família,51.0,43063.0
2015,2.0,Eixample,6.0,la Sagrada Família,52.0,43433.0
2015,2.0,Eixample,6.0,la Sagrada Família,53.0,45276.0
2015,2.0,Eixample,6.0,la Sagrada Família,54.0,47766.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,55.0,50396.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,56.0,48474.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,57.0,63085.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,58.0,53445.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,59.0,60828.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,60.0,54705.0
2015,2.0,Eixample,7.0,la Dreta de l'Eixample,61.0,42640.0
